,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,3,pensais,thought
3,4,demande,request
4,5,mois,month
5,6,frère,brother
6,7,laisser,let
7,8,car,because
8,9,mettre,to put
9,10,aucun,no
10,11,laisse,leash
11,12,eux,them
12,14,parlé,speak
13,15,devrait,should
14,16,vont,will
15,17,pendant,while
16,18,place,square
17,19,compris,understood
18,20,savais,knew
19,21,étaient,were
20,22,donner,give
21,23,type,type
22,24,leurs,their
23,25,donné,given
24,26,corps,body
25,27,endroit,place
26,28,écoute,listen
27,29,perdu,lost
28,30,main,hand
29,32,côté,side
30,33,vieux,old
31,34,sois,be
32,35,tiens,here
33,36,matin,morning
34,37,enfant,child
35,38,point,point
36,39,venu,came
37,40,pardon,sorry
38,42,devant,in front of
39,43,vers,towards
40,44,minutes,minutes
41,46,belle,beautiful
42,47,droit,law
43,48,aimerais,would like to
44,49,mari,husband
45,50,enfin,finally
46,51,espère,hope
47,53,parti,left
48,54,arrêter,Stop
49,56,compte,account
50,57,donne,given
51,58,croire,believe
52,60,gros,large
53,61,plutôt,rather
54,62,aura,will have
55,63,filles,girls
